Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mesorhizobium sp. strain N.Ca.IN.015.10.1","1871066.188","SAQR01000010","fig|1871066.188.peg.237","EOR84_11650",,"PATRIC.1871066.188.SAQR01000010.CDS.107604.108112.rev","PATRIC","CDS",107604,108112,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.012.08.1","1871066.191","SAQI01000098","fig|1871066.191.peg.7204","EOR75_33495",,"PATRIC.1871066.191.SAQI01000098.CDS.496.975.rev","PATRIC","CDS",496,975,480,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.014.13.1","1871066.195","SAQP01000026","fig|1871066.195.peg.3394","EOR82_29200",,"PATRIC.1871066.195.SAQP01000026.CDS.60492.61000.fwd","PATRIC","CDS",60492,61000,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.012.15.1","1871066.199","SAQF01000072","fig|1871066.199.peg.6209","EOR72_32115",,"PATRIC.1871066.199.SAQF01000072.CDS.1616.2110.rev","PATRIC","CDS",1616,2110,495,"-",,,,,164,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.013.01.1","1871066.203","SAQJ01000028","fig|1871066.203.peg.3285","EOR77_28095",,"PATRIC.1871066.203.SAQJ01000028.CDS.44011.44519.fwd","PATRIC","CDS",44011,44519,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.013.08.1","1871066.213","SAQN01000030","fig|1871066.213.peg.4256","EOR80_29815",,"PATRIC.1871066.213.SAQN01000030.CDS.43407.43915.rev","PATRIC","CDS",43407,43915,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.109.02.1","1871066.26","SAJF01000021","fig|1871066.26.peg.2686","EOQ32_25270",,"PATRIC.1871066.26.SAJF01000021.CDS.56677.57243.rev","PATRIC","CDS",56677,57243,567,"-",,,,,188,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Cr.TU.009.01.1","1871066.267","SASH01000038","fig|1871066.267.peg.4411","EOR07_24605",,"PATRIC.1871066.267.SASH01000038.CDS.58235.58743.rev","PATRIC","CDS",58235,58743,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.015.11.1","1871066.285","SUHQ01000025","fig|1871066.285.peg.2944","E5X88_24510",,"PATRIC.1871066.285.SUHQ01000025.CDS.93206.93714.rev","PATRIC","CDS",93206,93714,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.003.06.1","1871066.306","SUGG01000012","fig|1871066.306.peg.679","E5X40_20080",,"PATRIC.1871066.306.SUGG01000012.CDS.97008.97247.fwd","PATRIC","CDS",97008,97247,240,"+",,"PLF_68287_00061595","PGF_08225224",,79,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.006.10.1","1871066.310","SUGR01000050","fig|1871066.310.peg.6051","E5X55_28675",,"PATRIC.1871066.310.SUGR01000050.CDS.40474.40982.fwd","PATRIC","CDS",40474,40982,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.004.15.1","1871066.311","SUGJ01000085","fig|1871066.311.peg.6503","E5X46_31395",,"PATRIC.1871066.311.SUGJ01000085.CDS.6193.6701.rev","PATRIC","CDS",6193,6701,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.006.07.1","1871066.322","SUGP01000056","fig|1871066.322.peg.6423","E5X53_30430",,"PATRIC.1871066.322.SUGP01000056.CDS.25174.25682.fwd","PATRIC","CDS",25174,25682,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.006.04.1","1871066.323","SUGO01000059","fig|1871066.323.peg.6141","E5X51_30970",,"PATRIC.1871066.323.SUGO01000059.CDS.31977.32485.fwd","PATRIC","CDS",31977,32485,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.005.02.1","1871066.345","SUGK01000075","fig|1871066.345.peg.6286","E5X47_31490",,"PATRIC.1871066.345.SUGK01000075.CDS.9582.10090.fwd","PATRIC","CDS",9582,10090,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.033.01.1","1871066.36","SAKS01000033","fig|1871066.36.peg.4400","EOS34_31755",,"PATRIC.1871066.36.SAKS01000033.CDS.24288.24554.fwd","PATRIC","CDS",24288,24554,267,"+",,"PLF_68287_00061595","PGF_08225224",,88,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.108.01.1","1871066.381","SUET01000006","fig|1871066.381.peg.6030","E5W92_10300",,"PATRIC.1871066.381.SUET01000006.CDS.50157.50665.fwd","PATRIC","CDS",50157,50665,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.005.13.1","1871066.382","SUGM01000061","fig|1871066.382.peg.6036","E5X49_31120",,"PATRIC.1871066.382.SUGM01000061.CDS.21699.22207.fwd","PATRIC","CDS",21699,22207,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.006.13.1","1871066.383","SUGT01000009","fig|1871066.383.peg.8260","E5X57_09615",,"PATRIC.1871066.383.SUGT01000009.CDS.43676.44184.fwd","PATRIC","CDS",43676,44184,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.026.03.1","1871066.403","SUBN01000015","fig|1871066.403.peg.1962","E5V57_01600",,"PATRIC.1871066.403.SUBN01000015.CDS.9421.9929.rev","PATRIC","CDS",9421,9929,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.052.02.1","1871066.436","SUDA01000126","fig|1871066.436.peg.952","E5W09_09480",,"PATRIC.1871066.436.SUDA01000126.CDS.1714.2222.rev","PATRIC","CDS",1714,2222,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.014.02.1","1871066.457","SUSD01000024","fig|1871066.457.peg.2827","E5X82_29550",,"PATRIC.1871066.457.SUSD01000024.CDS.6192.6700.rev","PATRIC","CDS",6192,6700,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.006.05.1","1871066.464","SURY01000010","fig|1871066.464.peg.109","E5X52_12870",,"PATRIC.1871066.464.SURY01000010.CDS.25050.25558.fwd","PATRIC","CDS",25050,25558,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.015.08.1","1871066.466","SUSF01000027","fig|1871066.466.peg.3452","E5X87_31335",,"PATRIC.1871066.466.SUSF01000027.CDS.41111.41619.fwd","PATRIC","CDS",41111,41619,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.033.03.1","1871066.489","SUBX01000441","fig|1871066.489.peg.2145","E5V70_04225",,"PATRIC.1871066.489.SUBX01000441.CDS.399.879.rev","PATRIC","CDS",399,879,481,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.053.03.1","1871066.495","SUDB01000622","fig|1871066.495.peg.6238","E5W13_18925",,"PATRIC.1871066.495.SUDB01000622.CDS.355.863.fwd","PATRIC","CDS",355,863,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.074.03.1","1871066.501","SUDV01000225","fig|1871066.501.peg.3133","E5W49_05040",,"PATRIC.1871066.501.SUDV01000225.CDS.1616.2124.fwd","PATRIC","CDS",1616,2124,509,"+",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Cr.TU.018.02.1","1871066.528","SUJV01000013","fig|1871066.528.peg.679","E5Y85_18180",,"PATRIC.1871066.528.SUJV01000013.CDS.127791.128299.rev","PATRIC","CDS",127791,128299,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Cr.TU.002.04.1","1871066.529","SUJF01000016","fig|1871066.529.peg.1223","E5Y62_21310",,"PATRIC.1871066.529.SUJF01000016.CDS.106869.107377.rev","PATRIC","CDS",106869,107377,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Cr.TU.001.03.1","1871066.559","SUJA01000066","fig|1871066.559.peg.6090","E5Y56_26150",,"PATRIC.1871066.559.SUJA01000066.CDS.6616.7124.rev","PATRIC","CDS",6616,7124,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.015.13.1","1871066.562","SUHR01000019","fig|1871066.562.peg.1546","E5X89_22930",,"PATRIC.1871066.562.SUHR01000019.CDS.93252.93760.rev","PATRIC","CDS",93252,93760,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.IN.013.04.1","1871066.567","SUHM01000022","fig|1871066.567.peg.2986","E5X81_23975",,"PATRIC.1871066.567.SUHM01000022.CDS.43407.43915.rev","PATRIC","CDS",43407,43915,509,"-",,,,,,,"SLATT domain-containing protein",
"Mesorhizobium sp. strain N.Ca.ET.066.02.1","1871066.84","SALO01000017","fig|1871066.84.peg.1046","EOS62_15830",,"PATRIC.1871066.84.SALO01000017.CDS.7634.8142.rev","PATRIC","CDS",7634,8142,509,"-",,,,,,,"SLATT domain-containing protein",
"Anaerococcus sp. SUG356","1872515.6","JALEUV010000091","fig|1872515.6.peg.1094","MR512_07345",,"PATRIC.1872515.6.JALEUV010000091.CDS.4848.5210.fwd","PATRIC","CDS",4848,5210,363,"+",,,,,120,,"SLATT domain-containing protein",
"Anaerovibrio sp. strain RGIG9229","1872532.13","JAGBLR010000339","fig|1872532.13.peg.1761","J6N55_09995",,"PATRIC.1872532.13.JAGBLR010000339.CDS.11708.12100.rev","PATRIC","CDS",11708,12100,393,"-",,,,,130,,"SLATT domain-containing protein",
"Pseudonocardiaceae bacterium SMAG_U555","1873463.24","DASSUA010000497","fig|1873463.24.peg.2821","VFM37_12725",,"PATRIC.1873463.24.DASSUA010000497.CDS.15598.16020.fwd","PATRIC","CDS",15598,16020,423,"+",,,,,140,,"SLATT domain-containing protein",
"Pseudonocardiaceae bacterium SMAG_U3571","1873463.51","DASWTI010000073","fig|1873463.51.peg.607","VGD67_02795",,"PATRIC.1873463.51.DASWTI010000073.CDS.5580.6428.fwd","PATRIC","CDS",5580,6428,849,"+",,,,,282,,"SLATT domain-containing protein",
"Micromonospora chalcea 1K05785M01","1874.22","CP118233","fig|1874.22.peg.4070","PVK74_19920",,"PATRIC.1874.22.CP118233.CDS.4502915.4503490.rev","PATRIC","CDS",4502915,4503490,576,"-",,,,,191,,"SLATT domain-containing protein",
"Actinobacteria bacterium strain K_DeepCast_1200m_m2_005","1883427.1531","VGAS01000010","fig|1883427.1531.peg.104","FJW61_00465",,"PATRIC.1883427.1531.VGAS01000010.CDS.620.931.rev","PATRIC","CDS",620,931,312,"-",,,,,103,,"SLATT domain-containing protein",
"Actinobacteria bacterium strain CP_BM_RX_R8_27","1883427.1705","JAFAYY010000047","fig|1883427.1705.peg.1205","JO144_01030",,"PATRIC.1883427.1705.JAFAYY010000047.CDS.1.396.fwd","PATRIC","CDS",1,396,396,"+",,,,,131,,"SLATT domain-containing protein",
"Actinomycetes bacterium SMAG_U15966","1883427.3287","DATITX010000133","fig|1883427.3287.peg.605","VL330_02900",,"PATRIC.1883427.3287.DATITX010000133.CDS.1413.2096.fwd","PATRIC","CDS",1413,2096,684,"+",,,,,227,,"SLATT domain-containing protein",
"Actinobacteria bacterium strain Dino_bin16","1883427.455","WHSV01000038","fig|1883427.455.peg.601","GEU68_09570",,"PATRIC.1883427.455.WHSV01000038.CDS.23167.23664.rev","PATRIC","CDS",23167,23664,498,"-",,,,,165,,"SLATT domain-containing protein",
"Psychromonas sp. 8NakV-12","1884585.11","JBALXF010000066","fig|1884585.11.peg.3247","V7782_04235",,"PATRIC.1884585.11.JBALXF010000066.CDS.5109.5600.fwd","PATRIC","CDS",5109,5600,492,"+",,,,,,,"SLATT domain-containing protein",
"Psychromonas sp. bin.13a","1884585.12","JBAHZV010000058","fig|1884585.12.peg.308","V5786_04225",,"PATRIC.1884585.12.JBAHZV010000058.CDS.17591.18163.rev","PATRIC","CDS",17591,18163,573,"-",,,,,190,,"SLATT domain-containing protein",
"Streptomyces albogriseolus MRC002","1887.12","JAJQLP010000001","fig|1887.12.peg.3461","LUX09_15530",,"PATRIC.1887.12.JAJQLP010000001.CDS.3379350.3380097.fwd","PATRIC","CDS",3379350,3380097,748,"+",,,,,,,"SLATT domain-containing protein",
"Pseudomonas sp. JV449","1890658.3","VYKD01000028","fig|1890658.3.peg.3420","F6S08_26155",,"PATRIC.1890658.3.VYKD01000028.CDS.424712.425173.fwd","PATRIC","CDS",424712,425173,462,"+",,,,,153,,"SLATT domain-containing protein",
"Betaproteobacteria bacterium strain Lyne_18-Q3-R50-59_BAT3C.300","1891241.456","JADJXY010000001","fig|1891241.456.peg.2","IPM73_00010",,"PATRIC.1891241.456.JADJXY010000001.CDS.452.962.rev","PATRIC","CDS",452,962,511,"-",,,,,,,"SLATT domain-containing protein",
"Rhodospirillaceae bacterium strain ES-bin-250","1898112.194","JACMKT010000072","fig|1898112.194.peg.1859","H7Z12_05380",,"PATRIC.1898112.194.JACMKT010000072.CDS.15242.15952.fwd","PATRIC","CDS",15242,15952,711,"+",,,,,236,,"SLATT domain-containing protein",
"Lachnospiraceae bacterium strain JCVI_47_bin.6","1898203.2185","JABZIX010000148","fig|1898203.2185.peg.337","HXK79_06865",,"PATRIC.1898203.2185.JABZIX010000148.CDS.4501.4770.fwd","PATRIC","CDS",4501,4770,270,"+",,,,,,,"SLATT domain-containing protein",
"Clostridiales bacterium strain C.6_8","1898207.4508","JAJQCI010000112","fig|1898207.4508.peg.375","LUD81_03515",,"PATRIC.1898207.4508.JAJQCI010000112.CDS.6202.6525.rev","PATRIC","CDS",6202,6525,324,"-",,,,,107,,"SLATT domain-containing protein",
"Clostridiales bacterium C.6_8","1898207.4620","JAJQCI010000112","fig|1898207.4620.peg.375","LUD81_03515",,"PATRIC.1898207.4620.JAJQCI010000112.CDS.6202.6525.rev","PATRIC","CDS",6202,6525,324,"-",,,,,107,,"SLATT domain-containing protein",
"Streptomyces clavuligerus strain F1D25","1901.28","CP065236","fig|1901.28.peg.3441","I3J15_15550",,"PATRIC.1901.28.CP065236.CDS.3797238.3797988.rev","PATRIC","CDS",3797238,3797988,751,"-",,,,,,,"SLATT domain-containing protein",
"Bacilli bacterium strain AS05jafATM_52","1903720.36","DUTH01000543","fig|1903720.36.peg.2169","GX525_10335",,"PATRIC.1903720.36.DUTH01000543.CDS.2317.2586.rev","PATRIC","CDS",2317,2586,270,"-",,,,,89,,"SLATT domain-containing protein",
"Thermoplasmata archaeon SCS4bin.28","1906666.1258","JAZGET010000201","fig|1906666.1258.peg.2021","V3V21_09960",,"PATRIC.1906666.1258.JAZGET010000201.CDS.1.400.fwd","PATRIC","CDS",1,400,400,"+",,,,,132,,"SLATT domain-containing protein",
"Hyphomicrobiales bacterium MS_R2_11","1909294.1261","JAJTBO010000001","fig|1909294.1261.peg.1823","LWW93_00800",,"PATRIC.1909294.1261.JAJTBO010000001.CDS.172609.173202.rev","PATRIC","CDS",172609,173202,594,"-",,,,,197,,"SLATT domain-containing protein",
"Solirubrobacterales bacterium SMAG_U13366","1909295.359","DATMBY010000199","fig|1909295.359.peg.1779","VNM38_08705",,"PATRIC.1909295.359.DATMBY010000199.CDS.5863.6360.rev","PATRIC","CDS",5863,6360,498,"-",,,,,165,,"SLATT domain-containing protein",
"Solirubrobacterales bacterium strain MGR_bin281","1909295.38","JACDBL010000346","fig|1909295.38.peg.1136","H0W03_08510",,"PATRIC.1909295.38.JACDBL010000346.CDS.1.260.rev","PATRIC","CDS",1,260,260,"-",,,,,87,,"SLATT domain-containing protein",
"Streptomyces griseus NBC_01345","1911.57","JAPEPE010000001","fig|1911.57.peg.1061","OG743_05250",,"PATRIC.1911.57.JAPEPE010000001.CDS.1212071.1212613.rev","PATRIC","CDS",1212071,1212613,543,"-",,"PLF_1883_00159255","PGF_03573084",,180,,"SLATT domain-containing protein",
"Actinomycetales bacterium strain 5_8_m_bin7","1911520.37","JAENWO010000155","fig|1911520.37.peg.364","JJE50_08190",,"PATRIC.1911520.37.JAENWO010000155.CDS.3235.3783.rev","PATRIC","CDS",3235,3783,549,"-",,,,,182,,"SLATT domain-containing protein",
"Rhodococcus aetherivorans strain PSBB011","191292.37","CP069306","fig|191292.37.peg.547","JQ505_02615",,"PATRIC.191292.37.CP069306.CDS.556947.557591.rev","PATRIC","CDS",556947,557591,645,"-",,,,,214,,"SLATT domain-containing protein",
"Alphaproteobacteria bacterium strain PMG_074","1913988.126","SDYF01000150","fig|1913988.126.peg.337","EON56_02920",,"PATRIC.1913988.126.SDYF01000150.CDS.920.1645.rev","PATRIC","CDS",920,1645,726,"-",,,,,241,,"SLATT domain-containing protein",
"Alphaproteobacteria bacterium bin.3","1913988.1808","JANSWQ010000036","fig|1913988.1808.peg.1018","NXI03_01685",,"PATRIC.1913988.1808.JANSWQ010000036.CDS.241.750.fwd","PATRIC","CDS",241,750,510,"+",,,,,169,,"SLATT domain-containing protein",
"Alphaproteobacteria bacterium strain M_MetaBat.230","1913988.419","JAADIC010000306","fig|1913988.419.peg.2006","GXP03_12645",,"PATRIC.1913988.419.JAADIC010000306.CDS.1285.1596.fwd","PATRIC","CDS",1285,1596,312,"+",,,,,103,,"SLATT domain-containing protein",
"Gammaproteobacteria bacterium strain co.spades.DASTOOL.2.5kb_146","1913989.1961","JAIEQK010000147","fig|1913989.1961.peg.1614","K2Y51_14245",,"PATRIC.1913989.1961.JAIEQK010000147.CDS.1325.1774.rev","PATRIC","CDS",1325,1774,450,"-",,,,,149,,"SLATT domain-containing protein",
"Gammaproteobacteria bacterium strain co.spades.DASTOOL.2.5kb_146","1913989.1989","JAIEQK010000147","fig|1913989.1989.peg.1614","K2Y51_14245",,"PATRIC.1913989.1989.JAIEQK010000147.CDS.1325.1774.rev","PATRIC","CDS",1325,1774,450,"-",,,,,149,,"SLATT domain-containing protein",
"Gammaproteobacteria bacterium strain co.spades.DASTOOL.2.5kb_146","1913989.2051","JAIEQK010000147","fig|1913989.2051.peg.1614","K2Y51_14245",,"PATRIC.1913989.2051.JAIEQK010000147.CDS.1325.1774.rev","PATRIC","CDS",1325,1774,450,"-",,,,,149,,"SLATT domain-containing protein",
"Gammaproteobacteria bacterium strain co.spades.DASTOOL.2.5kb_146","1913989.2129","JAIEQK010000147","fig|1913989.2129.peg.1614","K2Y51_14245",,"PATRIC.1913989.2129.JAIEQK010000147.CDS.1325.1774.rev","PATRIC","CDS",1325,1774,450,"-",,,,,149,,"SLATT domain-containing protein",
"Gammaproteobacteria bacterium co.spades.DASTOOL.2.5kb_146","1913989.2229","JAIEQK010000147","fig|1913989.2229.peg.1614","K2Y51_14245",,"PATRIC.1913989.2229.JAIEQK010000147.CDS.1325.1774.rev","PATRIC","CDS",1325,1774,450,"-",,,,,149,,"SLATT domain-containing protein",
"Streptomyces microflavus NBC 01684","1919.30","CP109210","fig|1919.30.peg.986","OIE98_04560",,"PATRIC.1919.30.CP109210.CDS.1064216.1064773.rev","PATRIC","CDS",1064216,1064773,558,"-",,"PLF_1883_00639308","PGF_12703034",,185,,"SLATT domain-containing protein",
"Streptomyces phaeochromogenes NBC_00034","1923.13","JAPELP010000001","fig|1923.13.peg.4455","OOK29_03995",,"PATRIC.1923.13.JAPELP010000001.CDS.918698.919198.fwd","PATRIC","CDS",918698,919198,501,"+",,,,,166,,"SLATT domain-containing protein",
"Streptomyces phaeochromogenes NBC 01752","1923.17","CP109135","fig|1923.17.peg.7540","OHB35_36255",,"PATRIC.1923.17.CP109135.CDS.8301890.8302390.fwd","PATRIC","CDS",8301890,8302390,501,"+",,,,,166,,"SLATT domain-containing protein",
"Streptomyces phaeochromogenes NBC_00333","1923.19","CP108011","fig|1923.19.peg.8575","OHA74_40785",,"PATRIC.1923.19.CP108011.CDS.9251931.9252431.fwd","PATRIC","CDS",9251931,9252431,501,"+",,,,,166,,"SLATT domain-containing protein",
"Noviherbaspirillum sp. SMAG_U13656","1926288.17","DATLIB010000273","fig|1926288.17.peg.3228","VM571_14605",,"PATRIC.1926288.17.DATLIB010000273.CDS.26002.26293.rev","PATRIC","CDS",26002,26293,292,"-",,,"PGF_08225224",,96,,"SLATT domain-containing protein",
"Streptomyces rochei S32","1928.131","CP133098","fig|1928.131.peg.3463","RBH85_16375",,"PATRIC.1928.131.CP133098.CDS.3728259.3729013.fwd","PATRIC","CDS",3728259,3729013,755,"+",,,,,,,"SLATT domain-containing protein",
"Streptomyces scabiei ME19-04-2","1930.142","JARAXC010000023","fig|1930.142.peg.3964","PV397_30435",,"PATRIC.1930.142.JARAXC010000023.CDS.160674.160775.fwd","PATRIC","CDS",160674,160775,102,"+",,,,,,,"SLATT domain-containing protein",
"Cyanobium sp. CZS 48M CZS48M_Bin9_fgap_62850_1","1930145.3","JAUCZK010000006","fig|1930145.3.peg.1247","QUV06_06275",,"PATRIC.1930145.3.JAUCZK010000006.CDS.107372.107908.rev","PATRIC","CDS",107372,107908,537,"-",,,,,178,,"SLATT domain-containing protein",
"Serratia sp. JKS000199 strain SER00091","1938820.4","JADTUV010000001","fig|1938820.4.peg.63","I5M93_00300",,"PATRIC.1938820.4.JADTUV010000001.CDS.63385.63858.fwd","PATRIC","CDS",63385,63858,474,"+",,"PLF_613_00042366","PGF_04715592",,157,,"SLATT domain-containing protein",
"Serratia sp. JKS000199 strain SER00065","1938820.5","JADTVD010000014","fig|1938820.5.peg.4346","I5N00_21300",,"PATRIC.1938820.5.JADTVD010000014.CDS.72458.72931.rev","PATRIC","CDS",72458,72931,474,"-",,"PLF_613_00042366","PGF_04715592",,157,,"SLATT domain-containing protein",
"Streptomyces albireticuli NRRL B1670","1940.18","JAJQQS010000010","fig|1940.18.peg.7597","LUZ64_19080",,"PATRIC.1940.18.JAJQQS010000010.CDS.4326.5228.rev","PATRIC","CDS",4326,5228,903,"-",,"PLF_1883_00652779","PGF_12814982",,300,,"SLATT domain-containing protein",
"Xanthomonas arboricola pv. juglandis IVIA 2499","195709.91","CP076726","fig|195709.91.peg.2513","KP728_11725",,"PATRIC.195709.91.CP076726.CDS.2706404.2707018.rev","PATRIC","CDS",2706404,2707018,615,"-",,"PLF_338_00048249","PGF_06478799",,204,,"SLATT domain-containing protein",
"Xanthomonas arboricola pv. juglandis IVIA 1317","195709.92","CP076725","fig|195709.92.peg.159","KP727_00725",,"PATRIC.195709.92.CP076725.CDS.177032.177646.fwd","PATRIC","CDS",177032,177646,615,"+",,"PLF_338_00048249","PGF_06478799",,204,,"SLATT domain-containing protein",
"Beggiatoa sp. strain MAG100","1962953.5","JAIVGG010000107","fig|1962953.5.peg.4098","LC647_02325",,"PATRIC.1962953.5.JAIVGG010000107.CDS.3209.3712.fwd","PATRIC","CDS",3209,3712,504,"+",,,,,167,,"SLATT domain-containing protein",
"Beggiatoa sp. strain MAG100","1962953.6","JAIVGG010000107","fig|1962953.6.peg.4098","LC647_02325",,"PATRIC.1962953.6.JAIVGG010000107.CDS.3209.3712.fwd","PATRIC","CDS",3209,3712,504,"+",,,,,167,,"SLATT domain-containing protein",
"Beggiatoa sp. strain MAG100","1962953.7","JAIVGG010000107","fig|1962953.7.peg.4098","LC647_02325",,"PATRIC.1962953.7.JAIVGG010000107.CDS.3209.3712.fwd","PATRIC","CDS",3209,3712,504,"+",,,,,167,,"SLATT domain-containing protein",
"Beggiatoa sp. MAG100","1962953.8","JAIVGG010000107","fig|1962953.8.peg.4098","LC647_02325",,"PATRIC.1962953.8.JAIVGG010000107.CDS.3209.3712.fwd","PATRIC","CDS",3209,3712,504,"+",,,,,167,,"SLATT domain-containing protein",
"Nitrososphaera sp. PMV_3_maxbin.065_sub","1971748.10","JALAHR010001136","fig|1971748.10.peg.9898","MN733_18770",,"PATRIC.1971748.10.JALAHR010001136.CDS.1008.1541.fwd","PATRIC","CDS",1008,1541,534,"+",,,,,177,,"SLATT domain-containing protein",
"Pseudomonadota bacterium KUW bin24","1977087.4582","JALYWX010000629","fig|1977087.4582.peg.1415","M3Z21_13570",,"PATRIC.1977087.4582.JALYWX010000629.CDS.1394.1885.rev","PATRIC","CDS",1394,1885,492,"-",,,,,163,,"SLATT domain-containing protein",
"Proteobacteria bacterium strain WB4_2_1501","1977087.701","RFSE01000460","fig|1977087.701.peg.4352","EBS05_27585",,"PATRIC.1977087.701.RFSE01000460.CDS.756.1230.fwd","PATRIC","CDS",756,1230,475,"+",,,,,158,,"SLATT domain-containing protein",
"Proteobacteria bacterium strain SZAS AMP-47","1977087.986","JAFEDZ010000373","fig|1977087.986.peg.2380","JSS18_14790",,"PATRIC.1977087.986.JAFEDZ010000373.CDS.1633.2187.rev","PATRIC","CDS",1633,2187,555,"-",,,"PGF_00372047",,184,,"SLATT domain-containing protein",
"Rhizomicrobium sp. SMAG_U1025","1978228.47","DASSGF010000036","fig|1978228.47.peg.3014","VFI23_14695",,"PATRIC.1978228.47.DASSGF010000036.CDS.95456.95995.rev","PATRIC","CDS",95456,95995,540,"-",,,,,179,,"SLATT domain-containing protein",
"Pseudomonas koreensis strain UASWS1668","198620.76","VXLB01000065","fig|198620.76.peg.2108","FE275_10485",,"PATRIC.198620.76.VXLB01000065.CDS.105.599.fwd","PATRIC","CDS",105,599,495,"+",,,,,164,,"SLATT domain-containing protein",
"Pseudomonas cedrina subsp. fulgida strain LMG 21467","200453.3","JAFHKH010000121","fig|200453.3.peg.384","JWR97_07730",,"PATRIC.200453.3.JAFHKH010000121.CDS.11806.12426.fwd","PATRIC","CDS",11806,12426,621,"+",,,,,,,"SLATT domain-containing protein",
"Coriobacteriaceae bacterium SUG1387","2011094.235","JAQXOU010000059","fig|2011094.235.peg.489","PUC67_02380",,"PATRIC.2011094.235.JAQXOU010000059.CDS.1666.2166.fwd","PATRIC","CDS",1666,2166,501,"+",,,"PGF_05489885",,166,,"SLATT domain-containing protein",
"Propionibacteriales bacterium LacPavin_0920_WC12_MAG_69_14","2015801.21","JAPLCC010000017","fig|2015801.21.peg.1735","NTX33_04950",,"PATRIC.2015801.21.JAPLCC010000017.CDS.19660.20211.fwd","PATRIC","CDS",19660,20211,552,"+",,,,,183,,"SLATT domain-containing protein",
"Massilicoli timonensis DFI.6.1","2015901.22","JANGCH010000004","fig|2015901.22.peg.1642","NE663_04500",,"PATRIC.2015901.22.JANGCH010000004.CDS.144982.145527.rev","PATRIC","CDS",144982,145527,546,"-",,,,,181,,"SLATT domain-containing protein",
"Desulfosporosinus fructosivorans strain 63.6F","2018669.4","SPQQ01000007","fig|2018669.4.peg.5936","E4K67_19895",,"PATRIC.2018669.4.SPQQ01000007.CDS.293539.294153.fwd","PATRIC","CDS",293539,294153,615,"+",,,,,,,"SLATT domain-containing protein",
"Photobacterium carnosum TMW2.2147","2023717.33","WMDN01000001","fig|2023717.33.peg.172","GLP24_00840",,"PATRIC.2023717.33.WMDN01000001.CDS.183377.183889.rev","PATRIC","CDS",183377,183889,513,"-",,,,,170,,"SLATT domain-containing protein",
